iso3c,year,wbl_index
AFG,1971,26.3
AFG,1972,26.3
AFG,1973,26.3
AFG,1974,26.3
AFG,1975,26.3
AFG,1976,26.3
AFG,1977,26.3
AFG,1978,26.3
AFG,1979,26.3
AFG,1980,26.3
AFG,1981,26.3
AFG,1982,26.3
AFG,1983,26.3
AFG,1984,26.3
AFG,1985,26.3
AFG,1986,26.3
AFG,1987,26.3
AFG,1988,26.3
AFG,1989,25.6
AFG,1990,25.6
AFG,1991,25.6
AFG,1992,25.6
AFG,1993,25.6
AFG,1994,25.6
AFG,1995,25.6
AFG,1996,25.6
AFG,1997,25.6
AFG,1998,25.6
AFG,1999,25.6
AFG,2000,26.3
AFG,2001,26.3
AFG,2002,26.3
AFG,2003,26.3
AFG,2004,26.3
AFG,2005,26.3
AFG,2006,26.3
AFG,2007,26.3
AFG,2008,28.8
AFG,2009,28.8
AFG,2010,28.8
AFG,2011,28.8
AFG,2012,28.8
AFG,2013,28.8
AFG,2014,28.8
AFG,2015,28.8
AFG,2016,28.8
AFG,2017,38.1
AFG,2018,38.1
AFG,2019,38.1
AFG,2020,38.1
AGO,1971,30.6
AGO,1972,30.6
AGO,1973,30.6
AGO,1974,30.6
AGO,1975,30.6
AGO,1976,30.6
AGO,1977,30.6
AGO,1978,30.6
AGO,1979,30.6
AGO,1980,30.6
AGO,1981,30.6
AGO,1982,30.6
AGO,1983,33.1
AGO,1984,33.1
AGO,1985,33.1
AGO,1986,33.1
AGO,1987,33.1
AGO,1988,33.1
AGO,1989,56.3
AGO,1990,56.3
AGO,1991,56.3
AGO,1992,56.3
AGO,1993,56.3
AGO,1994,56.3
AGO,1995,56.3
AGO,1996,56.3
AGO,1997,56.3
AGO,1998,56.3
AGO,1999,56.3
AGO,2000,56.3
AGO,2001,62.5
AGO,2002,62.5
AGO,2003,62.5
AGO,2004,62.5
AGO,2005,62.5
AGO,2006,62.5
AGO,2007,62.5
AGO,2008,62.5
AGO,2009,65.0
AGO,2010,65.0
AGO,2011,65.0
AGO,2012,65.0
AGO,2013,67.5
AGO,2014,67.5
AGO,2015,67.5
AGO,2016,67.5
AGO,2017,70.0
AGO,2018,73.1
AGO,2019,73.1
AGO,2020,73.1
ALB,1971,59.4
ALB,1972,59.4
ALB,1973,59.4
ALB,1974,59.4
ALB,1975,59.4
ALB,1976,59.4
ALB,1977,59.4
ALB,1978,59.4
ALB,1979,59.4
ALB,1980,59.4
ALB,1981,59.4
ALB,1982,59.4
ALB,1983,59.4
ALB,1984,59.4
ALB,1985,59.4
ALB,1986,59.4
ALB,1987,59.4
ALB,1988,59.4
ALB,1989,59.4
ALB,1990,59.4
ALB,1991,59.4
ALB,1992,59.4
ALB,1993,59.4
ALB,1994,65.0
ALB,1995,65.0
ALB,1996,65.0
ALB,1997,80.0
ALB,1998,80.0
ALB,1999,80.0
ALB,2000,80.0
ALB,2001,80.0
ALB,2002,80.0
ALB,2003,80.0
ALB,2004,80.0
ALB,2005,80.0
ALB,2006,80.0
ALB,2007,80.0
ALB,2008,82.5
ALB,2009,82.5
ALB,2010,82.5
ALB,2011,85.6
ALB,2012,85.6
ALB,2013,85.6
ALB,2014,85.6
ALB,2015,85.6
