iso3c,IMF,FATF,EU
BLZ,TRUE,TRUE,FALSE
CPV,FALSE,FALSE,FALSE
COM,FALSE,FALSE,FALSE
CUB,FALSE,FALSE,FALSE
DMA,FALSE,TRUE,FALSE
FJI,FALSE,FALSE,TRUE
GRD,FALSE,FALSE,FALSE
GNB,FALSE,FALSE,FALSE
GUY,FALSE,FALSE,FALSE
HTI,FALSE,FALSE,FALSE
JAM,FALSE,FALSE,FALSE
KIR,FALSE,FALSE,FALSE
MDV,FALSE,FALSE,FALSE
MHL,TRUE,TRUE,FALSE
MUS,TRUE,TRUE,FALSE
FSM,FALSE,FALSE,FALSE
NRU,TRUE,TRUE,FALSE
PLW,FALSE,TRUE,TRUE
PNG,FALSE,FALSE,FALSE
WSM,TRUE,TRUE,FALSE
STP,FALSE,FALSE,FALSE
SYC,TRUE,TRUE,TRUE
SLB,FALSE,FALSE,FALSE
LCA,FALSE,FALSE,FALSE
VCT,FALSE,FALSE,FALSE
SUR,FALSE,FALSE,FALSE
TLS,FALSE,FALSE,FALSE
TON,FALSE,FALSE,FALSE
TUV,FALSE,FALSE,FALSE
VUT,TRUE,TRUE,TRUE
DOM,FALSE,FALSE,FALSE
