country,region,pop_exclue
Antigua-et-Barbuda,Latin America & Caribbean,0
Seychelles,Sub-Saharan Africa,0
Tuvalu,East Asia & Pacific,92.6299751281691
Palaos,East Asia & Pacific,104.45601081847643
Nauru,East Asia & Pacific,124.75
Saint-Vincent-et-les Grenadines,Latin America & Caribbean,296.0782730102539
Samoa,East Asia & Pacific,622.9319770049499
Maldives,South Asia,747.6290905000718
Tonga,East Asia & Pacific,3851.43320030211
Îles Marshall,East Asia & Pacific,4295.15951179506
Sainte-Lucie,Latin America & Caribbean,4730.63358535759
Kiribati,East Asia & Pacific,10473.809363042994
"Micronésie, États fédérés de",East Asia & Pacific,26527.005441284116
Suriname,Latin America & Caribbean,27424.89084388733
Belize,Latin America & Caribbean,29596.506000000012
Maurice,Sub-Saharan Africa,33511.55113449043
Fidji,East Asia & Pacific,42140.45756431592
Sao Tomé-et-Principe,Sub-Saharan Africa,67475.01573059082
Cabo Verde,Sub-Saharan Africa,67767.60068534836
Guyane,Latin America & Caribbean,89488.922749023
Vanuatu,East Asia & Pacific,129096.51652145394
Jamaïque,Latin America & Caribbean,147442.07099999982
République dominicaine,Latin America & Caribbean,148018.76668479928
Comores,Sub-Saharan Africa,198822.6648229977
Îles Salomon,East Asia & Pacific,270799.982
Timor-Leste,East Asia & Pacific,391411.66381716274
Guinée-Bissau,Sub-Saharan Africa,1384610.9084622199
Papouasie-Nouvelle-Guinée,East Asia & Pacific,4501825.181675911
Haïti,Latin America & Caribbean,6312031.9823814435
