"","iso2c","country","GDP_per_capita","year","iso3c","region","income","lending","SIDS","label","wbl_index"
"1","AD","Andorra",NA,2019,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2019)",NA
"2","AD","Andorra",NA,2018,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2018)",NA
"3","AD","Andorra",NA,2017,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2017)",NA
"4","AD","Andorra",NA,2016,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2016)",NA
"5","AD","Andorra",NA,2015,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2015)",NA
"6","AD","Andorra",NA,2014,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2014)",NA
"7","AD","Andorra",NA,2013,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2013)",NA
"8","AD","Andorra",NA,2012,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2012)",NA
"9","AD","Andorra",NA,2011,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2011)",NA
"10","AD","Andorra",NA,2010,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2010)",NA
"11","AD","Andorra",NA,2009,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2009)",NA
"12","AD","Andorra",NA,2008,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2008)",NA
"13","AD","Andorra",NA,2007,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2007)",NA
"14","AD","Andorra",NA,2006,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2006)",NA
"15","AD","Andorra",NA,2005,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2005)",NA
"16","AD","Andorra",NA,2004,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2004)",NA
"17","AD","Andorra",NA,2003,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2003)",NA
"18","AD","Andorra",NA,2002,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2002)",NA
"19","AD","Andorra",NA,2001,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2001)",NA
"20","AD","Andorra",NA,2000,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2000)",NA
"21","AD","Andorra",NA,1999,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1999)",NA
"22","AD","Andorra",NA,1998,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1998)",NA
"23","AD","Andorra",NA,1997,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1997)",NA
"24","AD","Andorra",NA,1996,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1996)",NA
"25","AD","Andorra",NA,1995,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1995)",NA
"26","AD","Andorra",NA,1994,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1994)",NA
"27","AD","Andorra",NA,1993,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1993)",NA
"28","AD","Andorra",NA,1992,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1992)",NA
"29","AD","Andorra",NA,1991,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1991)",NA
"30","AD","Andorra",NA,1990,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1990)",NA
"31","AE","United Arab Emirates",67119.1326374303,2019,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2019)",30
"32","AE","United Arab Emirates",66968.2698548892,2018,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2018)",26.9
"33","AE","United Arab Emirates",67183.6265568253,2017,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2017)",26.9
"34","AE","United Arab Emirates",66510.8674624507,2016,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2016)",26.9
"35","AE","United Arab Emirates",65218.7922731195,2015,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2015)",26.9
"36","AE","United Arab Emirates",62378.6574391489,2014,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2014)",26.9
"37","AE","United Arab Emirates",59921.7348033071,2013,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2013)",26.9
"38","AE","United Arab Emirates",57390.7130793677,2012,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2012)",26.9
"39","AE","United Arab Emirates",56123.4861570182,2011,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2011)",26.9
"40","AE","United Arab Emirates",54921.8398136707,2010,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2010)",26.9
"41","AE","United Arab Emirates",58374.5858440028,2009,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2009)",26.9
"42","AE","United Arab Emirates",68798.4085604423,2008,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2008)",26.9
"43","AE","United Arab Emirates",76620.414429431,2007,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2007)",26.9
"44","AE","United Arab Emirates",86425.8646063394,2006,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2006)",26.9
"45","AE","United Arab Emirates",90894.839378841,2005,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2005)",26.9
"46","AE","United Arab Emirates",97758.0233454776,2004,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2004)",26.9
"47","AE","United Arab Emirates",97795.0008584932,2003,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2003)",26.9
"48","AE","United Arab Emirates",95908.9248008444,2002,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2002)",26.9
"49","AE","United Arab Emirates",98621.6259696546,2001,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2001)",26.9
"50","AE","United Arab Emirates",102494.878140927,2000,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2000)",26.9
"51","AE","United Arab Emirates",97698.3726997213,1999,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1999)",17.5
"52","AE","United Arab Emirates",100100.43565772,1998,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1998)",17.5
"53","AE","United Arab Emirates",105108.956918658,1997,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1997)",17.5
"54","AE","United Arab Emirates",102211.437570572,1996,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1996)",17.5
"55","AE","United Arab Emirates",101571.370611508,1995,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1995)",17.5
"56","AE","United Arab Emirates",100212.8068054,1994,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1994)",17.5
"57","AE","United Arab Emirates",98978.2924287643,1993,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1993)",17.5
"58","AE","United Arab Emirates",103470.97497898,1992,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1992)",17.5
"59","AE","United Arab Emirates",106103.881292928,1991,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1991)",17.5
"60","AE","United Arab Emirates",111454.36044583,1990,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 1990)",17.5
"61","AF","Afghanistan",2202.27848949912,2019,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2019)",38.1
"62","AF","Afghanistan",2190.24032132044,2018,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2018)",38.1
"63","AF","Afghanistan",2202.5708512665,2017,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2017)",38.1
"64","AF","Afghanistan",2200.76448734821,2016,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2016)",28.8
"65","AF","Afghanistan",2212.75089885175,2015,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2015)",28.8
"66","AF","Afghanistan",2249.25373797742,2014,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2014)",28.8
"67","AF","Afghanistan",2264.3175752325,2013,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2013)",28.8
"68","AF","Afghanistan",2220.48152554463,2012,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2012)",28.8
"69","AF","Afghanistan",2037.60860700679,2011,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2011)",28.8
"70","AF","Afghanistan",2093.74356474335,2010,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2010)",28.8
"71","AF","Afghanistan",1881.77762573479,2009,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2009)",28.8
"72","AF","Afghanistan",1587.79206964143,2008,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2008)",28.8
"73","AF","Afghanistan",1562.8765157744,2007,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2007)",26.3
"74","AF","Afghanistan",1407.70804076547,2006,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2006)",26.3
"75","AF","Afghanistan",1376.68637625196,2005,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2005)",26.3
"76","AF","Afghanistan",1284.12733787726,2004,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2004)",26.3
"77","AF","Afghanistan",1322.14132753971,2003,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2003)",26.3
"78","AF","Afghanistan",1272.90091353162,2002,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2002)",26.3
"79","AF","Afghanistan",NA,2001,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2001)",26.3
"80","AF","Afghanistan",NA,2000,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 2000)",26.3
"81","AF","Afghanistan",NA,1999,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1999)",25.6
"82","AF","Afghanistan",NA,1998,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1998)",25.6
"83","AF","Afghanistan",NA,1997,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1997)",25.6
"84","AF","Afghanistan",NA,1996,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1996)",25.6
"85","AF","Afghanistan",NA,1995,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1995)",25.6
"86","AF","Afghanistan",NA,1994,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1994)",25.6
"87","AF","Afghanistan",NA,1993,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1993)",25.6
"88","AF","Afghanistan",NA,1992,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1992)",25.6
"89","AF","Afghanistan",NA,1991,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1991)",25.6
"90","AF","Afghanistan",NA,1990,"AFG","South Asia","Lower middle income","IDA","Others","(AFG, 1990)",25.6
"91","AG","Antigua and Barbuda",21908.4585035162,2019,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2019)",66.3
"92","AG","Antigua and Barbuda",21115.7982687308,2018,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2018)",66.3
"93","AG","Antigua and Barbuda",19840.0761229321,2017,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2017)",66.3
"94","AG","Antigua and Barbuda",19417.9648194984,2016,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2016)",66.3
"95","AG","Antigua and Barbuda",18595.0849042657,2015,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2015)",66.3
"96","AG","Antigua and Barbuda",18104.2414700004,2014,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2014)",66.3
"97","AG","Antigua and Barbuda",17641.5425333279,2013,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2013)",66.3
"98","AG","Antigua and Barbuda",17965.5023271233,2012,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2012)",66.3
"99","AG","Antigua and Barbuda",17604.4171016288,2011,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2011)",66.3
"100","AG","Antigua and Barbuda",18205.9853689337,2010,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2010)",66.3
"101","AG","Antigua and Barbuda",19989.0929126679,2009,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2009)",66.3
"102","AG","Antigua and Barbuda",23101.9314868622,2008,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2008)",66.3
"103","AG","Antigua and Barbuda",23485.948423444,2007,"ATG","Latin America & Caribbean","Low Income","IBRD","SIDS","(ATG, 2007)",66.3
