"","iso2c","country","GDP_per_capita","year","iso3c","region","income","lending","SIDS","label"
"1","AD","Andorra",NA,2019,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2019)"
"2","AD","Andorra",NA,2018,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2018)"
"3","AD","Andorra",NA,2017,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2017)"
"4","AD","Andorra",NA,2016,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2016)"
"5","AD","Andorra",NA,2015,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2015)"
"6","AD","Andorra",NA,2014,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2014)"
"7","AD","Andorra",NA,2013,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2013)"
"8","AD","Andorra",NA,2012,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2012)"
"9","AD","Andorra",NA,2011,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2011)"
"10","AD","Andorra",NA,2010,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2010)"
"11","AD","Andorra",NA,2009,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2009)"
"12","AD","Andorra",NA,2008,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2008)"
"13","AD","Andorra",NA,2007,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2007)"
"14","AD","Andorra",NA,2006,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2006)"
"15","AD","Andorra",NA,2005,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2005)"
"16","AD","Andorra",NA,2004,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2004)"
"17","AD","Andorra",NA,2003,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2003)"
"18","AD","Andorra",NA,2002,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2002)"
"19","AD","Andorra",NA,2001,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2001)"
"20","AD","Andorra",NA,2000,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 2000)"
"21","AD","Andorra",NA,1999,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1999)"
"22","AD","Andorra",NA,1998,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1998)"
"23","AD","Andorra",NA,1997,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1997)"
"24","AD","Andorra",NA,1996,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1996)"
"25","AD","Andorra",NA,1995,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1995)"
"26","AD","Andorra",NA,1994,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1994)"
"27","AD","Andorra",NA,1993,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1993)"
"28","AD","Andorra",NA,1992,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1992)"
"29","AD","Andorra",NA,1991,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1991)"
"30","AD","Andorra",NA,1990,"AND","Europe & Central Asia","Low Income",NA,"Others","(AND, 1990)"
"31","AE","United Arab Emirates",67119.1326374303,2019,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2019)"
"32","AE","United Arab Emirates",66968.2698548892,2018,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2018)"
"33","AE","United Arab Emirates",67183.6265568253,2017,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2017)"
"34","AE","United Arab Emirates",66510.8674624507,2016,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2016)"
"35","AE","United Arab Emirates",65218.7922731195,2015,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2015)"
"36","AE","United Arab Emirates",62378.6574391489,2014,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2014)"
"37","AE","United Arab Emirates",59921.7348033071,2013,"ARE","Middle East & North Africa","Low Income",NA,"Others","(ARE, 2013)"
